H0_Wasserstein1,H0_Bottleneck,H0_PersEntropy,H0_BettiL1,H0_BettiL2,H0_LandscapeL1,H0_LandscapeL2,H1_Wasserstein1,H1_Bottleneck,H1_PersEntropy,H1_BettiL1,H1_BettiL2,H1_LandscapeL1,H1_LandscapeL2,Label
33.14475978281657,2.0397154468854555,2.938529371299516,1620.0,169.9941175452845,71.38639857070613,8.284940622243806,0.6241835310909396,0.2662901952128021,1.6453873393368843,78.0,10.295630140987,4.05595915726941,0.6562884173925119,Aggressive
32.08078290694004,2.348498937703911,2.9174696967041127,1363.0,150.03666218628032,82.19326939245667,9.539161102098678,0.910898257679515,0.21489076475461452,2.130036127837359,94.0,12.409673645990857,3.4594360264864834,0.5261980077492494,Aggressive
34.89871757374944,2.2100001788122623,2.9394009213533003,1575.0,168.35973390332975,77.34606013153538,8.97660518508394,1.491032262930385,0.39831620969754195,1.8990855131207405,206.0,23.45207879911715,11.696068323019778,1.3916118545380707,Aggressive
34.901903369734676,2.27779523910337,2.929382864658189,1527.0,161.92282112166896,79.71876618838068,9.251975972637135,0.312951308374001,0.12250672728006928,1.3611706688923904,47.0,9.1104335791443,0.9857406616210929,0.22846963749937396,Aggressive
26.84625483092379,1.5712415931566792,2.9406878918344574,1703.0,175.43374817862156,54.99065018663502,6.382087914458922,1.233726764295741,0.281532687270464,1.8686323186134912,370.0,40.963398296528084,10.327425034359251,1.1891749930488447,Aggressive
22.931963718988264,1.5596899849168133,2.9378626115652824,1466.0,161.59207901379324,54.58636452453305,6.3351674538109215,0.9406525840290539,0.2352062200864416,2.0827887587608913,189.0,21.330729007701542,6.412280667911877,0.8028937285356329,Aggressive
23.628498300400643,1.5296966016425209,2.931560420137478,1539.0,163.12878348102765,53.5366496654472,6.2133399705376275,0.2540408037489899,0.23416097824337143,0.27448531524314507,100.0,10.0,7.659967889689437,0.9165924992089827,Aggressive
28.282395459822073,1.9708636808084827,2.9275022341776746,1430.0,155.9615337190552,68.97670969818579,8.005277694478385,0.43661690540072584,0.13201842805200784,1.5566179963406712,159.0,18.734993995195193,3.953660608542086,0.48443630883536243,Aggressive
31.265005281608875,2.0893693234657156,2.9274106339269674,1492.0,159.74980438172688,73.12419559016372,8.486625332608593,0.8011119550422158,0.22837741910331252,1.818412826837882,143.0,16.217274740226856,6.7058062481157705,0.8300035671563399,Aggressive
38.28859669167556,2.1827527470121515,2.9430367218533164,1747.0,179.37948600662227,76.39244867093635,8.865931240383832,1.2315255186917142,0.39081895969703007,1.8199504754653553,197.0,23.473389188611005,10.796475822275335,1.3553790909904666,Aggressive
