Model,accuracy_leaky,accuracy_std_leaky,f1_macro_leaky,f1_std_leaky,accuracy_grouped,accuracy_std_grouped,f1_macro_grouped,f1_std_grouped,accuracy_diff,f1_diff
"SVC (linear, C=0.1)",0.9572475865573056,0.007052757321475017,0.9571804450243955,0.007034888432348139,0.9582558703366584,0.014767776565872208,0.9581483206460593,0.014880914930580049,0.0010082837793528032,0.0009678756216637829
Random Forest,0.9762882395966521,0.006621623316677049,0.9762973878290824,0.006631968863394929,0.9769548465756719,0.006188423065921174,0.9769796046097421,0.006198706448223595,0.0006666069790197682,0.0006822167806597168
AdaBoost,0.9782893451181177,0.005589402349335406,0.9782596617762949,0.005624636604856296,0.9759492593742223,0.00721893689896205,0.9759419578948376,0.007220497291168191,-0.002340085743895437,-0.002317703881457245
LDA,0.9609220495697958,0.008550787632211463,0.9609713739412331,0.008511296725490738,0.9615902942648692,0.012668222980822756,0.9616450968346564,0.012707104286838551,0.0006682446950734278,0.0006737228934232675
