,accuracy,accuracy_std,f1_macro,f1_std
"SVC (linear, C=0.1)",0.9572475865573056,0.007052757321475017,0.9571804450243955,0.007034888432348139
Random Forest,0.9762882395966521,0.006621623316677049,0.9762973878290824,0.006631968863394929
AdaBoost,0.9782893451181177,0.005589402349335406,0.9782596617762949,0.005624636604856296
LDA,0.9609220495697958,0.008550787632211463,0.9609713739412331,0.008511296725490738
